Timestamp | Device_ID | Temperature (Celsius) | Status
2026-06-03 16:47:31 | WARD_B_TEMP_01 | 37.6 | WARNING
2026-06-03 16:47:31 | WARD_B_TEMP_02 | 40.3 | CRITICAL
2026-06-03 16:47:31 | WARD_B_TEMP_03 | 38.0 | WARNING
2026-06-03 16:47:31 | WARD_B_TEMP_04 | 40.4 | CRITICAL
2026-06-03 16:47:31 | WARD_B_TEMP_05 | 35.4 | CRITICAL
2026-06-03 16:47:32 | WARD_B_TEMP_01 | 39.8 | CRITICAL
2026-06-03 16:47:32 | WARD_B_TEMP_02 | 36.2 | NORMAL
2026-06-03 16:47:32 | WARD_B_TEMP_03 | 39.9 | CRITICAL
2026-06-03 16:47:32 | WARD_B_TEMP_04 | 34.9 | CRITICAL
2026-06-03 16:47:32 | WARD_B_TEMP_05 | 38.0 | WARNING
2026-06-03 16:47:33 | WARD_B_TEMP_01 | 35.4 | CRITICAL
2026-06-03 16:47:33 | WARD_B_TEMP_02 | 39.2 | CRITICAL
2026-06-03 16:47:33 | WARD_B_TEMP_03 | 37.0 | NORMAL
2026-06-03 16:47:33 | WARD_B_TEMP_04 | 38.9 | CRITICAL
2026-06-03 16:47:33 | WARD_B_TEMP_05 | 38.3 | CRITICAL
2026-06-03 16:47:34 | WARD_B_TEMP_01 | 35.3 | CRITICAL
2026-06-03 16:47:34 | WARD_B_TEMP_02 | 39.7 | CRITICAL
2026-06-03 16:47:34 | WARD_B_TEMP_03 | 38.7 | CRITICAL
2026-06-03 16:47:34 | WARD_B_TEMP_04 | 39.2 | CRITICAL
2026-06-03 16:47:34 | WARD_B_TEMP_05 | 38.9 | CRITICAL
2026-06-03 16:47:35 | WARD_B_TEMP_01 | 36.8 | NORMAL
2026-06-03 16:47:35 | WARD_B_TEMP_02 | 39.3 | CRITICAL
2026-06-03 16:47:35 | WARD_B_TEMP_03 | 40.2 | CRITICAL
2026-06-03 16:47:35 | WARD_B_TEMP_04 | 38.2 | CRITICAL
